"pm2.5","pm10","nox","so2","co","o3"
NA,NA,29.4,7.85,1.13,13.25
19,92,17.8,5.8,1.16,13.17
52.33,258.33,26.3,7.25,1.09,13.37
NA,NA,34.5,8.2,1.1,16.1
NA,NA,26.2,6.83,0.98,15.57
31.67,227.33,29.68,6.72,1.05,16.3
87.75,503.5,22.93,6.72,1.22,17.17
76.25,406.75,28.88,5.62,1.38,12.7
73.75,343.5,34.08,6.6,1.6,7.7
86.25,323.5,34.73,8.03,1.87,5.65
76,295,34.6,7.45,1.52,6.98
70.25,265.75,33.12,8.95,1.49,5.97
74,262.67,33,12.83,1.38,5.67
70.75,228.25,31.83,9.62,1.02,7.3
48,138.75,29.77,7.92,0.86,9.55
40.75,109,30.38,6.47,0.84,10.3
36.75,104.5,29.27,5.8,0.82,9.97
36,120.25,30.88,5.17,0.84,9.45
38,201.5,30.92,8.32,0.9,8.2
41.75,213.5,35.97,11.17,0.97,7.28
46.25,192.75,30,11.17,0.98,7.2
53,250.25,28.85,10.65,1,7.7
58,295.25,20.93,NA,1.09,8
55.75,291,28.55,9.3,NA,NA
57.25,288.25,NA,6.3,1.15,10
55.25,268,NA,5.42,1.17,10.6
55.25,237.5,22.4,7.15,1.22,12.62
54.75,222.25,20.35,7.7,1.18,14.2
52,202,23.1,7.2,1.13,17.08
54,206.5,27.67,8.8,1.3,16.2
61.5,218.25,29.02,9.32,1.28,15.4
67.25,223,44.8,7.95,1.21,11.57
75.25,226.5,53.1,7.05,1.66,7.1
91,276.25,46.83,9.6,3.79,6.22
81.5,299.5,44.15,9.5,3.59,6.05
77.25,273.5,43.5,8.25,2.14,6.53
52.67,186,31.53,6.77,1.28,7.53
43.75,164.75,27.35,5.52,1.86,6.12
83.75,237.5,27.88,6.12,1.95,6.22
85.75,235.25,27.73,5.25,1.62,6.28
68.75,198.5,32.83,7.18,1,6.22
39,137.5,33.35,9.43,0.89,7.28
39.5,160.5,33.6,6.95,0.92,7.35
46.25,194.25,34.95,7.55,1.08,6.88
51.75,214.75,37.2,9.12,1.12,6.8
56.25,243,29.52,9.38,1.12,7.18
62.25,286.75,30.1,8.23,1.16,7.35
68,319.25,35.7,9.03,1.26,8.18
74.5,328.5,32.83,7.17,1.25,8.67
80,474,36.95,6.38,1.19,10.95
81.25,451,38.48,6.58,1.18,11.68
78.75,375.75,31.9,5.55,1.12,13.55
79,391.25,26.35,6.32,1.15,13.97
74.25,434.5,23.78,6.65,1.17,12.83
74.25,439.75,22.25,6.33,1.61,9.9
53.75,232.25,25.2,2.92,1.69,6.65
45,113.75,20.85,2.6,1.84,6.33
40.75,163.5,25.1,3.67,2.7,6.6
50.33,169.33,29.43,4.58,2.71,6.33
52.75,154.75,26.9,3.35,1.96,6.25
53.67,130,23.4,3,1.35,7.17
39,89.5,23.52,2.52,1.45,6.55
38.5,99.25,23.12,2.48,1.13,6.32
37.75,84.75,24.73,2.88,0.95,6.97
32,134.5,24.38,2.28,0.86,9.9
28,221,29.2,2.08,0.98,8.28
31,154.25,21.97,2.28,0.95,9.12
42.25,108,23.25,3.25,1.14,8.25
52,124.75,22.47,3.07,1.38,6.85
56.5,131,22.57,3.65,1.49,6.4
54.75,138,24.78,4.27,2.21,6.4
54,139.25,31.7,3.62,1.56,7.27
54.25,140.25,34.28,2.57,1.53,7.6
49.5,159.25,33.32,4.25,1.2,7.8
53.25,281.25,34.38,4.65,1.23,8.2
59.25,262,32.73,4.78,1.22,8.88
64.67,270.33,34,3.5,1.22,9.13
NA,NA,NA,NA,1.18,NA
NA,NA,NA,NA,1.13,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,2.64,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,2.66,NA
NA,NA,NA,NA,2.39,NA
NA,NA,NA,NA,2.36,NA
NA,NA,NA,6.8,2,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
63,443,17.4,12,1.54,9.9
40.33,205.33,14,8.63,1.66,7.7
40.5,88.25,11.72,8.3,1.85,6.23
47,109.5,9.8,7.67,1.7,6.35
59.25,134.25,10.53,7.55,1.57,6.45
51,110.25,10.15,6.9,1.48,6.2
45.5,94.75,10.07,6.45,1.52,6.42
51.5,99.75,10.6,7.1,1.68,6.45
49.5,100,13.98,6.38,1.78,6.6
50,116.5,14.57,6.97,2.14,6.35
57.5,132.25,15.4,7.53,1.91,6.32
66.67,125,14.45,8.25,1.93,7.27
72.75,283.5,16,8.47,2.59,10.7
85.25,251.75,13.48,8.35,2.21,11.02
82.25,180,14.55,6.92,2.09,11.9
77.75,148.25,15.32,7.5,1.83,13.72
73.5,192.75,14.48,8.43,1.69,16.3
77.75,279,14.35,7.55,1.78,18.85
70,242.5,15.77,8.15,2.03,18.45
69.5,190,17.65,7.75,2.65,12.08
62.25,194.75,15.15,6.95,2.61,11.3
63.5,238.5,15.25,7.95,3.2,9.7
73.25,193.75,15.15,6.92,2.86,9.97
75,177.25,14.4,6.3,2.77,9.95
74.75,187.25,14.35,5.5,2.34,9.7
70.33,306.67,14.03,5.6,1.79,10.77
57.75,189,11.88,7,1.61,11.07
60.75,130.75,13.1,6.65,1.4,11.05
53,102.25,11.93,6.15,1.32,11.05
49.75,225,11.35,5.08,1.44,10.4
49,361.25,12.05,6.45,1.4,10.05
45.5,218.25,11.67,6.85,1.5,10.12
46.25,102.75,14.25,5.88,1.62,10.6
40.5,94.75,14.22,6.9,1.62,11.52
33.75,83.5,12.8,6.82,1.61,15.37
32,77.75,16.18,5.4,1.67,17.32
36.5,184,14.93,6.2,1.71,17.77
41.25,136.5,17.18,4.85,1.53,18.12
38.5,109,15.55,9.05,1.4,20.9
37.25,97.5,16.2,10.47,1.4,21.18
37.5,100.5,20.52,9.3,1.38,20.83
43,118.33,20.75,7.58,1.38,26.77
43.25,415.5,18.02,6.78,1.48,28.42
41.5,298.25,18.42,6.6,1.82,23.18
50,139.75,19.15,6.85,2.06,18.38
55.25,145.75,19.8,7.28,2.39,15.57
53.67,279.33,19.83,8,2.63,12.6
57.75,573,19.48,7.83,2.32,6.2
59.5,312,18.88,5.53,1.96,6.25
51.67,149,15,6,1.61,6.07
44,221.5,15.52,5.8,1.24,6.33
47.5,468.25,15.35,4.95,1.23,6.38
55.75,280.5,14.85,5.9,1.18,6.55
49.75,137,15.4,8.62,1.15,6.5
54.25,471,14.1,8.48,1.22,6.4
60,336,14.17,8.32,1.38,6.33
65.25,180.25,14.4,5.53,1.51,6.33
71.5,147.25,14.45,5.78,1.48,6.45
72.75,363.25,14.2,6.22,1.57,6.45
76.25,391.25,15.92,5.23,1.55,17.8
79.25,209.5,17.35,5.25,1.64,25.27
79,166,17.52,5.05,1.46,33.77
73,392.75,16.35,8.6,1.49,22.88
71.25,406.25,15.85,9.1,1.55,22.5
63.5,179.5,13.28,8.55,1.42,23.88
75.75,188.25,14.38,6.85,1.37,25.1
74.25,474.25,13.48,6.97,1.44,24.85
59.75,355.5,13.4,6.85,1.36,25.25
57.75,180,16.17,7.25,1.51,23.92
60.75,213.75,14.65,8,1.56,23.1
59.75,516,14.52,8.07,1.64,22.55
61,482.67,15.35,6.15,1.51,14.97
63.75,188,14.12,5.9,1.39,16.27
68,126.33,14.73,5.57,1.26,16.3
55.5,118.75,15.35,5.73,1.06,15.83
42.25,144,15.03,6.12,0.98,15.15
44.75,134.25,12.43,6.07,0.97,15.27
49,97,10.4,6.05,1.01,15.1
47.75,84,10.75,6.42,1.04,15.6
44.5,114.75,11.45,6.17,1.1,16.07
42,214.75,11.62,8,1.25,15.28
45.5,241.75,12.78,7.77,1.42,17.68
49.25,220,14.12,7.78,1.55,19
52.25,126.5,15.75,7,1.96,17.95
57,130.5,18.03,6.03,1.93,19.9
63.25,172,17.8,5.73,1.84,12.5
61.5,253,17.62,6.67,1.68,16.07
59.5,229,15.8,6.9,1.57,15.07
58,154.25,16.05,6.82,1.53,15.3
55.5,177,14.85,6.78,1.52,15.2
54.75,373.5,15.03,7.32,1.53,16.05
51.75,263.75,13.85,7.1,1.76,15.55
39,122.5,14.55,8.5,2.05,15.4
36.75,115.75,13.85,8.62,1.95,14.78
38.25,455.75,14.42,8.55,1.94,15
40.75,405,15.77,7.97,1.62,16.18
40,172.75,16,7.12,1.36,14.45
41.33,107.33,17,6.8,1.21,15.97
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
42,105.5,17.55,NA,1.19,15.55
49,419.67,17.97,9.25,1.65,13.93
44,262,18.27,8.62,1.94,15.9
66.67,105.5,16.4,8.53,1.53,14.43
42.5,112,15.88,8.07,0.96,15.77
28,364.25,16.05,8.43,1.07,15.42
36.25,290.5,15.25,7.97,1.32,14.97
34.75,116.5,15.37,8.03,1.4,15.07
38.75,88.5,15.25,9.8,2.18,14.55
42.5,107,11.25,9.53,2.54,15.72
51.5,328.25,12.85,9.38,3.16,14.32
75.75,302.5,14.15,8.12,2,16.15
83,175.5,14.43,7.38,1.84,15.38
79.75,124.75,14.02,7.62,1.83,15.62
84.25,132,11.65,8.17,1.94,15.15
103.67,173,11.83,8.57,2.04,14.4
125.75,337,11.8,7.2,1.7,15.15
124.75,279,12,7.95,1.47,14.68
140.75,188.5,11.65,8.62,1.28,15.58
147.75,176.25,10.57,5.82,1.2,14.88
117,142.25,10.62,6.18,1.2,15.1
99.5,130,10.65,7.05,1.75,15.32
106.25,149.75,11.85,7.78,1.91,16.33
103.5,161.5,15.2,6.45,1.68,21.02
104.33,178.33,16.13,5.78,1.78,16.53
98.25,167.75,15.95,5.05,1.9,14.43
104,171,14.3,5.05,1.81,15.35
NA,NA,12.95,4.85,1.6,14.17
29,43.67,12.45,6.72,1.45,15.38
64,100,15.12,7.47,1.16,15.8
NA,NA,14.7,6.92,1.31,15.57
NA,NA,14.93,7.67,1.2,15.35
NA,NA,13.1,6.75,1.19,15.43
25.67,38,13.9,7.05,1.38,22.7
77.5,203,17.5,8.47,1.73,16.82
101.5,327.5,15.07,9.52,1.78,16.32
113,168.5,15.07,8.77,1.79,18.62
133,305.75,15.18,5.62,1.52,16.15
123,397,12.65,4.88,1.55,14.38
126.67,143.67,10.87,5.9,1.37,15.7
110,192,11.95,7.08,1.09,15.7
103,135.5,11.53,7.83,0.94,16.5
85.5,109.75,12.35,7.3,0.9,15.6
81.5,87.5,12.05,7.3,0.9,16.35
76.5,99.5,12.12,7.9,0.93,16.02
72.25,108.75,12.77,7.42,1.01,16.58
72.75,100,14.05,6.62,1.13,20.83
73.5,100.5,14.28,6.15,1.24,16.6
86.75,130.75,14.55,7.22,1.49,16.38
107,161,15.28,7.48,1.74,19.9
107.25,157.25,16.05,7.7,1.61,17.23
104.75,147.25,13.82,7.3,1.22,15.55
105.75,145,13.5,7.4,1.2,16.27
102.5,147.75,14,8.17,1.13,16.28
99.75,137,14.05,7.43,1.1,15.9
102.5,125.5,14.6,5.5,1.07,16.25
122.25,155,14.45,4.38,1.12,16.57
117.25,153.75,15.02,5.3,1.46,16
105.75,134,17.7,8.35,1.82,19.4
100.75,154,18.15,7.62,1.86,14.78
103.5,140.5,16.3,9.2,2.51,15.8
119.5,166.25,15.68,7.67,2.47,15.15
130,170.5,15.58,6.65,1.9,14.35
114.5,118.5,14.7,5.9,1.33,14.53
100,131,13.3,6.17,1.29,15.15
116.5,165.25,11.8,7.02,1.15,15.3
129.75,173.5,12.35,5.88,0.98,15.35
121.5,166.5,12.3,5,0.94,15.05
121,165.75,11.88,5.53,0.97,15.5
121.25,154.5,12,5.78,1.22,16.2
122,165,13.23,5.92,1.48,16.92
131.75,178.75,13.57,5.83,1.42,15.68
125.25,154.5,14.05,5.42,1.45,16.12
117.75,163.25,15.12,10.22,1.45,18.18
120,154,15.25,11.42,1.54,20.15
122.25,165.5,15.8,11.25,1.5,18.95
115.5,154.5,14.85,6.73,1.06,14.2
109.75,126.5,14.68,6.58,1.27,17.62
127.25,164,16.12,5.45,1.36,21.42
137.5,190,15.62,7.85,1.14,14.12
141.75,183,15.62,7.28,1.23,16.15
143,181,14.53,6.58,1.52,16.73
149.5,201.25,14.28,6.32,1.83,18.88
157.75,200.5,16.43,5.22,1.85,20.75
195.5,252.75,17.2,4.8,2.44,19.7
159.75,194.25,17.38,7.07,1.48,17.3
75,122.75,14.17,7.05,1.29,13.05
69.67,105,12.1,9.17,0.98,14.47
64.25,90.25,10.8,6.68,0.96,14.73
61,72,13.45,6.35,0.81,17.65
52.25,82,13.45,4.15,0.64,16
48.75,73.25,14.78,7.25,0.69,15.88
51.25,74.5,14.48,7.62,0.79,14.23
57,100.25,15.82,9.62,1.24,18.93
67,105.25,14.82,7.8,1.1,12.3
74,100,16.35,6.9,1.17,18.85
95.25,115.5,16.57,6.88,1.29,13.85
110,129.25,15.07,5.78,1.33,16.47
122.5,163.25,18.05,5,1.28,17.07
140.25,194.5,15.33,5.67,1.66,17.3
133,152.5,15.4,8.62,1.51,19.6
132,185.25,17.93,7.3,1.35,18.77
147.75,199,15.73,7.62,1.39,16.82
158.5,211,17.45,5.97,1.43,15.07
134.5,198.25,14.7,6.45,1.62,16.48
95.75,119.25,18.8,6.72,1.59,16.42
77.5,99.5,15.22,6.15,0.96,15.18
56.67,94.67,14.3,7.33,1.36,15.17
63.33,88,14.02,6.98,1.45,14.7
74,81,13.23,7.68,1.22,15.57
71.5,153,13.82,8.1,1.61,15.17
65.67,132,13.77,7.6,1.34,14.6
75.75,113.25,13.32,7.83,0.98,16
62.33,129,13.88,7.45,0.77,15.45
70,80.5,13.35,6.92,0.78,15.62
74.67,NA,12.12,6.3,0.75,15.82
53.33,50.5,13.15,6.52,0.68,15.88
42,46,13.07,6,0.81,17.05
26,27,20.12,7.05,0.93,35.75
21.5,NA,13.38,6.9,0.77,12.65
20.33,NA,13.5,7.07,1.01,17.2
NA,NA,15.15,6.2,0.92,18.27
25,34.5,14.3,5.75,0.92,17.23
22.33,39.33,14.93,4.75,0.9,17.15
21,33,16.88,6.9,1.03,18
22.33,26,17.15,7.53,0.92,16.75
25,37,16.83,7.88,1.36,17.62
36.5,47,17.72,6.75,1.45,16.2
NA,NA,17.43,5.75,1.2,15.3
NA,NA,16.93,7.25,2.01,16.5
NA,NA,15.28,7.45,2.2,16.52
NA,NA,16.02,7.4,2.06,17.43
22.33,36,17.18,8.12,2.58,16.7
61.25,102.5,17.3,8.18,2.23,14.3
53,85,16.3,9.3,2.09,14.85
48.33,93.67,15,9.1,2.06,15.1
50.25,85.75,14.67,9.12,2.01,15.15
92.25,143.25,15.07,9.38,1.68,14.88
194.25,226.5,14.32,9.32,1.53,15.2
89.25,138.5,14.28,7.92,1.32,14.88
84.5,126.25,14.43,8.4,1.57,14.77
90,103,13.1,7.88,1.34,15.38
79.33,105.33,13.6,6.6,1.66,15
119,130,17.25,5.17,1.56,19.8
202.75,224.5,18.5,5.65,1.42,17.38
159.75,178.5,19.65,6.53,1.71,16.65
NA,NA,18.45,6.58,1.85,16.4
141.25,154.25,17.62,5.95,1.37,16.35
81,104.5,18.1,5.85,1.31,16.48
NA,NA,17.82,6.1,1.26,16.25
103,139,16.83,6.07,1.22,16.27
79.75,135.25,15.58,6.22,1.22,15.75
61.5,121.25,15.65,5.57,1.04,15.4
56.33,114.33,16.1,6.2,1.07,15.53
37.5,64,17.58,7.55,0.93,17.3
36,43,18.68,8.2,1.69,15.95
NA,NA,16.57,9.38,2.02,16.07
45,48,18.2,8.05,2.08,15.75
45,48,19.27,9.62,2.39,15.55
53,63,16.77,10.1,2.34,15.4
59.5,65,17,9.07,1.72,15.33
59,72,17.12,9.55,1.77,15.33
NA,NA,16.23,9.28,1.71,13.88
58,101,13.4,6.58,1.77,14.5
59,103,11.95,8.43,2.09,14.75
64.75,79,11.8,8.1,2,14.85
NA,NA,11.5,8.2,2.13,14.95
106,126.5,12.2,9.83,2.43,15.15
132,156,11.88,8.28,2.08,15.4
115.5,140.5,13.85,4.62,1.35,16.93
80,99,16.17,3.38,1.05,19.23
81.5,131,17.23,3.08,1.04,16.02
84,117,16.55,6.75,1,15.38
84.67,107.33,16.43,7.17,0.86,15.33
84.67,143.25,15.27,7.85,0.98,15.37
80.67,128.33,15.63,8.67,0.83,16.47
79.25,126.75,16.62,9,1.11,16.45
83.75,120.75,17.47,9.12,1.21,16.12
79.25,142.5,14.85,8.45,1.27,14.95
90,170.67,14.63,8.73,2.43,15.4
159.75,218.75,14.22,10.35,2.4,14.92
177.33,226.67,12.9,6.8,2.02,14.93
112.75,146,12.33,3.7,1.24,14.95
83,86,11.8,4.53,1.15,14.87
93,124.25,12.32,6.82,1.03,14.48
101.25,154.75,12.03,8,0.93,15.3
97.25,117.5,11.92,8,0.89,15.05
88.75,132,12.3,6.02,0.69,14.93
72.25,88.5,12.6,6.7,0.74,15.32
64.25,86.25,12.62,8.12,0.81,15.52
80.75,99.5,14.73,6.67,0.93,15.68
67.25,87.75,13.65,7.65,1.03,14.82
83.75,102.5,13.75,8.53,1.19,15.62
87.5,100,13.08,6.47,1.48,15.95
90,133,15.4,5.85,1.29,16.73
89.25,133,13.9,4.97,1,15.47
66.25,94.25,14.25,5,0.84,15.8
58.5,75,14.2,3.65,0.85,15.8
48,80.75,13.9,3.17,0.77,16.15
42.75,55.75,14.62,7.75,0.84,16.23
41,61,14.22,6.8,0.91,16
46,47,13.93,7.9,1.45,15.68
62.5,68.5,14.12,6.32,1.64,15.98
62.33,86.33,17.83,8,1.69,17.63
NA,NA,16.77,6.98,1.67,14.97
61,83.33,16.47,7.15,1.39,16.9
65.33,98,16.53,6.2,1.19,15.23
64.5,95.5,9.45,5.75,0.89,12.4
55.5,90.25,11.17,6.9,0.61,14.68
53,73.25,10.57,5.88,0.53,14.65
55,64,10.7,6.3,0.52,15.23
61.33,71.33,10.8,4.9,0.54,15.43
63.5,83,11.28,5.87,0.56,15.03
56.75,80.75,11.2,5.53,0.67,16.17
57,61,11.9,7.2,0.87,15.85
77.75,88.5,12.2,8.6,1.03,14.97
83,102.67,13.5,7.97,1.23,19.43
84,99,13.32,7.2,1.64,15.45
92.25,130.25,14.93,6.75,1.72,22.3
96.25,132,14.8,7.27,1.55,15.53
86.25,105,15.42,7.4,1.41,17.3
86,111.25,14.45,7.08,1.31,16.48
87,91,15,6.8,0.99,15.47
NA,NA,13.63,6.22,1.41,15.7
90,110.5,14.15,5.53,1.48,16.02
88,137,14.28,6.82,1.87,16.4
84,129.5,14.3,8.28,1.89,16.3
76.33,109.67,14.43,10.72,2.2,15.57
87.75,135.75,13.85,10,2.36,16.52
96.5,155.25,13.5,7.58,2.1,14.22
98.75,136.25,13.62,6.93,1.8,16.05
96,133,12.73,6.57,1.61,14.63
95,165.5,14.02,5.38,1.34,16.85
94.5,126.5,15.17,4.38,1.11,16.9
96.5,142,16,3.73,0.86,16.25
128.75,175,14.95,6.53,0.91,16.1
159,213.75,15.15,7.35,1.07,16.23
135.75,169.25,15.78,6.4,1.23,16.45
120.5,169,15.35,7.25,1.38,15.85
113,161.75,14.95,7.47,1.31,16.1
119,145.5,15.88,6.97,1.44,16.23
104.5,116,16.35,6.15,1.19,15.83
66,81.5,17.05,6.1,1.08,16.38
63,77.75,12.35,6.4,0.93,15.25
64.75,75.75,14.68,6.88,0.99,15.88
74.5,88,14.55,7.62,1.28,16.8
69,96.75,14.65,7.42,1.36,16.78
75,107.67,14,5.58,1.43,16.3
80.5,98.25,16.18,4.72,1.43,16.55
79.25,118,14.53,5.08,1.12,16.25
80.75,117,15.18,5.38,1.23,16.5
91.75,138.25,14.95,5.38,1.24,15.88
80.33,93.33,14.37,6.93,2.18,14.57
103.75,147.25,14.03,9.1,3.01,15.38
124,165.75,12.7,8.65,2.49,15.68
126.67,192,14.13,8.43,2.58,17.4
134.5,216,14.45,8.65,2.69,16.45
153.25,213.25,13.52,9.52,2.29,16.15
176.25,259.25,14.5,9.47,2.31,16.18
161.5,241,14.38,7.53,1.97,16
163,248,15,6.33,1.43,15.57
164.5,222.75,14.5,6.15,1.31,15.78
134.75,178,15.62,8.3,1.28,18.5
117.5,165.75,14.7,7.95,1.2,15.85
103.5,123.5,13.93,7.27,1.04,17.33
60.25,78.25,13.7,6.3,0.89,16.98
56,72,14.5,6.28,0.74,16.12
53.75,66.75,14.5,6.32,0.72,16.8
48,70.75,14.7,6.72,0.73,16.9
50.33,63.67,14.57,6.33,0.67,16.3
56.5,69.5,15.9,6.6,0.77,18.48
62.25,80.75,16.95,6.97,0.78,20.52
69.25,80.5,17.57,7.5,0.69,18.02
67.5,113.75,17.27,7.85,0.83,17.48
70.75,107.75,16.8,4.83,0.84,15.42
72.75,112.25,19.8,3.97,1.1,18.65
77.75,103.5,20.5,3.45,1.54,15.63
86.5,92,19.92,5.7,1.71,15.45
86.67,99,17.73,5.17,1.26,15.47
88,109.33,18.67,4.47,0.84,15.47
76.75,88,17.05,6.4,0.53,14.35
70.5,87,15.35,5.8,0.45,15
68.25,109.75,15.07,5.9,0.37,16.1
61.5,67.5,13.67,5.17,0.36,15.15
62,79,14.7,4.83,0.45,15.67
71.5,103,14.35,5.9,0.58,16.17
81,95.5,14.13,6.43,0.85,16.1
88,102.75,17.07,6.02,1.12,16.65
94,111.5,17.17,6.57,1.26,15.62
97,108.67,17.28,9.82,1.55,15.22
98.5,149.75,15.97,10.32,1.86,16.1
101.75,134,16.15,7.52,1.31,15.43
113.25,155.5,16.38,6.6,1.28,16.12
117.5,148,15.47,5.05,1.01,14.88
136.25,205,15.22,6.28,1.25,16.3
173.67,211,14.77,7.12,1.47,15.77
165.5,204.75,14.22,7.45,1.05,15.58
121.75,163,13.88,7.97,1.41,15.35
116,180.75,11.88,7.72,1.69,14.7
115.5,150,13.55,9.32,2.54,15.82
119,168.25,14.72,9.88,1.78,15.78
116.25,178.25,13.62,7.15,1.49,14.22
117.75,160,11.45,7.25,1.08,14.3
116,147,11.3,7.37,1.05,14.97
122.5,170.75,13.8,8.07,0.78,14.02
123.25,164.25,12.5,7.72,0.73,14.92
129.5,174.5,13.75,7.47,0.69,15.95
122.75,160.75,14.82,6.72,0.64,15.53
117.5,131.75,13.5,7.27,0.64,15.05
118.75,155.5,13.6,6.68,0.72,15.32
103.5,133.75,16.18,4.97,0.64,16.18
60.5,79.5,15.9,5.65,0.82,16.4
NA,NA,21.7,5.47,1.51,16.97
41,60,20.43,5.05,0.63,15.1
50.5,81.5,16.02,4.22,0.75,15.3
51.75,122.5,17.5,5.53,0.83,16.02
58.25,80.25,16.9,8.57,1.15,16.02
67,86.75,17.8,7.55,1.22,17.8
64.5,96.75,16.88,7.08,1.28,16
